Code,plan_clustername,ClusterDC,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
2112858,BN1AzFApp01-02,BN1,NULL,00:00.0,00:00.0,39:15.4,39:15.4,00:00.0,00:00.0,00:00.0
2000002,HK2PrdApp03,HK2,NULL,00:00.0,NULL,09:30.9,NULL,00:00.0,NULL,00:00.0
2000004,HK2PrdApp04,HK2,NULL,00:00.0,00:00.0,14:07.7,14:07.7,00:00.0,NULL,00:00.0
2000041,SG2PrdApp01,SG2,NULL,00:00.0,00:00.0,00:43.6,00:43.6,00:00.0,NULL,00:00.0
2000095,BJBPrdApp05,BJB,NULL,00:00.0,NULL,27:42.4,NULL,00:00.0,NULL,00:00.0
2000098,BJBPrdApp04,BJB,NULL,00:00.0,NULL,36:41.7,NULL,00:00.0,NULL,00:00.0
2000108,SH2PrdApp02,SH2,NULL,00:00.0,NULL,10:51.1,NULL,00:00.0,NULL,00:00.0
2000110,SH3PrdApp01,SH3,NULL,00:00.0,00:00.0,12:18.4,12:18.4,00:00.0,NULL,00:00.0
2000111,SH3PrdApp02,SH3,NULL,00:00.0,00:00.0,29:07.5,29:07.5,00:00.0,00:00.0,00:00.0
2000121,DB4PrdApp15,DB4,NULL,00:00.0,NULL,02:31.7,NULL,00:00.0,NULL,00:00.0
2000125,DB4PrdApp16,DB4,NULL,00:00.0,NULL,06:22.6,NULL,00:00.0,NULL,00:00.0
2000126,DB4PrdApp17,DB4,NULL,00:00.0,00:00.0,27:13.3,27:13.3,00:00.0,00:00.0,NULL
2000129,DB5PrdApp03,DB5,NULL,00:00.0,00:00.0,15:57.5,15:57.5,00:00.0,00:00.0,00:00.0
2000248,AM3PrdApp15,AM3,NULL,00:00.0,NULL,21:52.1,NULL,00:00.0,NULL,00:00.0
2000249,AM3PrdApp17,AM3,NULL,00:00.0,NULL,38:05.2,NULL,00:00.0,NULL,00:00.0
2000250,AM3PrdApp19,AM3,NULL,00:00.0,NULL,54:27.3,NULL,00:00.0,NULL,00:00.0
2000251,AM3PrdApp22,AM3,NULL,00:00.0,00:00.0,20:18.0,20:18.0,00:00.0,NULL,00:00.0
2000253,AM3PrdApp23,AM3,NULL,00:00.0,00:00.0,42:03.1,42:03.1,00:00.0,NULL,00:00.0
2000254,AM4PrdApp01,AM4,NULL,00:00.0,00:00.0,58:09.3,58:09.3,00:00.0,NULL,00:00.0
2000255,AM3PrdApp20,AM3,NULL,00:00.0,00:00.0,45:25.9,45:25.9,00:00.0,00:00.0,00:00.0
2000257,SY3PrdApp06,SY3,NULL,00:00.0,00:00.0,57:31.8,57:31.8,00:00.0,00:00.0,00:00.0
2000341,PN1PrdApp01,PN1,NULL,00:00.0,00:00.0,48:12.9,48:12.9,00:00.0,00:00.0,00:00.0
2000345,PN1PrdApp02 GEN4.0,PN1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2000366,OS1prdApp03,OS1,NULL,00:00.0,NULL,32:25.5,NULL,00:00.0,NULL,00:00.0
2000372,OS2PrdApp01,OS2,NULL,00:00.0,00:00.0,30:15.9,30:15.9,00:00.0,NULL,00:00.0
2000391,DM2PrdApp01,DM2,NULL,00:00.0,NULL,13:54.2,NULL,00:00.0,NULL,00:00.0
2000392,DM2PrdApp02,DM2,NULL,00:00.0,NULL,12:12.8,NULL,00:00.0,NULL,00:00.0
2000481,BL3PrdApp10,BL3,NULL,00:00.0,00:00.0,38:19.1,38:19.1,00:00.0,NULL,00:00.0
2000482,BL4PrdApp01,BL4,NULL,00:00.0,00:00.0,20:41.5,20:41.5,00:00.0,NULL,00:00.0
2000540,DM2PrdApp03,DM2,NULL,00:00.0,NULL,51:50.8,NULL,00:00.0,NULL,00:00.0
2000541,BN3PrdApp01,BN3,NULL,00:00.0,NULL,36:58.8,NULL,00:00.0,NULL,00:00.0
2000721,SN3PrdApp12,SN3,NULL,00:00.0,NULL,55:27.0,NULL,00:00.0,NULL,00:00.0
2000722,SN3PrdApp13,SN3,NULL,00:00.0,NULL,12:39.5,NULL,00:00.0,NULL,00:00.0
2000724,DM2PrdApp04,DM2,NULL,00:00.0,00:00.0,43:52.0,43:52.0,00:00.0,NULL,00:00.0
2000727,BN3PrdApp03,BN3,NULL,00:00.0,00:00.0,15:36.1,15:36.1,00:00.0,NULL,00:00.0
2000729,BN3PrdApp04,BN3,NULL,00:00.0,00:00.0,32:04.8,32:04.8,00:00.0,NULL,00:00.0
2000817,BY3PrdApp16,BY3,NULL,00:00.0,00:00.0,33:12.9,33:12.9,00:00.0,NULL,00:00.0
2000825,BY3PrdApp10,BY3,NULL,00:00.0,NULL,49:58.3,NULL,00:00.0,NULL,00:00.0
2000827,BY3PrdApp13,BY3,NULL,00:00.0,00:00.0,25:14.6,25:14.6,00:00.0,00:00.0,00:00.0
