Code,plan_clustername,ClusterDC1,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
2106349,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106371,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106385,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106387,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106406,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106411,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106416,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106434,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106438,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106441,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106448,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106449,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106451,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106453,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106455,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106462,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106467,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106474,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106484,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106506,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106510,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106515,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106516,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106521,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106530,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106538,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106552,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106560,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106567,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106570,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106578,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106582,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
