plan_region_name,plan_dc_name,code,plan_clustername,ClusterDC
Central US,Des Moines 3,2007055,DM3PrdApp01,DM3
East Asia,Hong Kong 2,2007079,NULL,NULL
China North,China Telecom: Yongfeng,2007080,NULL,NULL
China East,Shanghai 4,2007081,NULL,NULL
North Europe,Dublin-DB5,2007082,NULL,NULL
Japan West,Osaka OSA02,2007083,NULL,NULL
South Central US,San Antonio IDC3,2007084,NULL,NULL
South Central US,San Antonio IDC4,2007085,NULL,NULL
East US 2,Boydton BN6,2007086,NULL,NULL
East US 2,Boydton BN6,2007087,NULL,NULL
East US 2,Boydton BN6,2007088,NULL,NULL
West US,Bay IDC4,2007089,NULL,NULL
West US,Bay IDC4,2007090,NULL,NULL
East US,Blue Ridge BL5,2007091,NULL,NULL
West US,Bay IDC4,2007092,NULL,NULL
Central US,Des Moines 3,2007093,NULL,NULL
Central US,Des Moines 3,2007094,NULL,NULL
Central US,Des Moines DSM05,2007095,NULL,NULL
Central US,Des Moines DSM05,2007096,NULL,NULL
Central US,Des Moines DSM05,2007097,NULL,NULL
Central US,Des Moines DSM05,2007098,NULL,NULL
North Central US,Chicago 1,2007099,NULL,NULL
North Central US,Chicago 1,2007100,NULL,NULL
South Central US,San Antonio IDC4,2007101,NULL,NULL
North Central US,Chicago 1,2007102,NULL,NULL
South Central US,San Antonio IDC4,2007103,NULL,NULL
North Central US,Chicago 1,2007104,NULL,NULL
South Central US,San Antonio IDC4,2007105,NULL,NULL
South Central US,San Antonio IDC4,2007106,NULL,NULL
North Central US,Chicago 1,2007107,NULL,NULL
West US 2,Quincy MWH01,2007108,NULL,NULL
West US 2,Quincy MWH01,2007109,NULL,NULL
South Central US,San Antonio IDC4,2007110,NULL,NULL
West US 2,Quincy MWH01,2007111,NULL,NULL
East US,Blue Ridge BL5,2007112,NULL,NULL
West US,Bay IDC4,2007113,NULL,NULL
East US,Blue Ridge BL5,2007114,NULL,NULL
NULL,NULL,2007179,NULL,NULL
NULL,NULL,2007180,NULL,NULL
NULL,NULL,2007181,NULL,NULL
NULL,NULL,2007182,NULL,NULL
NULL,NULL,2007183,NULL,NULL
NULL,NULL,2007184,NULL,NULL
NULL,NULL,2007185,NULL,NULL
NULL,NULL,2007186,NULL,NULL
North Central US,Chicago 1,2007235,NULL,NULL
North Central US,Chicago 1,2007241,NULL,NULL
East US 2,Boydton 4,2007287,BN4PrdApp02,BN4
West US,Bay IDC4,2007288,BY4PrdApp07,BY4
East Asia,Hong Kong 3,2107306,NULL,NULL
East Asia,Hong Kong 3,2107307,NULL,NULL
Southeast Asia,Singapore IDC2,2107308,NULL,NULL
Southeast Asia,Singapore IDC2,2107309,NULL,NULL
East Asia,Hong Kong 3,2107310,NULL,NULL
Southeast Asia,Singapore IDC2,2107311,NULL,NULL
Australia Southeast,Melbourne MEL01,2107312,NULL,NULL
Australia East,Sydney SYD03,2107313,NULL,NULL
Australia East,Sydney SYD03,2107314,NULL,NULL
Australia Southeast,Melbourne MEL01,2107315,NULL,NULL
Brazil South,Campinas CPQ01,2107316,NULL,NULL
China East,Shanghai SHA03,2107317,NULL,NULL
China North,China Telecom: Yongfeng,2107318,NULL,NULL
North Europe,Dublin DUB06,2107319,NULL,NULL
North Europe,Dublin DUB06,2107320,NULL,NULL
North Europe,Dublin DUB06,2107321,NULL,NULL
North Europe,Dublin DUB06,2107322,NULL,NULL
North Europe,Dublin DUB06,2107323,NULL,NULL
North Europe,Dublin DUB06,2107324,NULL,NULL
West Europe,Amsterdam AMS05,2107325,NULL,NULL
West Europe,Amsterdam AMS05,2107326,NULL,NULL
West Europe,Amsterdam AMS05,2107327,NULL,NULL
West Europe,Amsterdam AMS05,2107328,NULL,NULL
West Europe,Amsterdam AMS05,2107329,NULL,NULL
North Europe,Dublin DUB06,2107330,NULL,NULL
West Europe,Amsterdam AMS05,2107331,NULL,NULL
West Europe,Amsterdam AMS05,2107332,NULL,NULL
Japan East,Tokyo TYO01,2107333,NULL,NULL
Central US,Des Moines DSM05,2107334,NULL,NULL
Central US,Des Moines DSM05,2107335,NULL,NULL
East US 2,Boydton 4,2107336,NULL,NULL
Central US,Des Moines DSM05,2107337,NULL,NULL
East US,Blue Ridge 4,2107338,NULL,NULL
East US,Blue Ridge 4,2107339,NULL,NULL
East US 2,Boydton 4,2107340,NULL,NULL
Central US,Des Moines DSM05,2107341,NULL,NULL
East US 2,Boydton 4,2107342,NULL,NULL
East US 2,Boydton BN6,2107343,NULL,NULL
North Central US,Chicago 3,2107344,NULL,NULL
South Central US,San Antonio IDC2,2107345,NULL,NULL
North Central US,Chicago 3,2107346,NULL,NULL
West US 2,Quincy MWH01,2107347,NULL,NULL
South Central US,San Antonio IDC4,2107348,NULL,NULL
West US 2,Quincy MWH01,2107349,NULL,NULL
South Central US,San Antonio IDC4,2107350,NULL,NULL
South Central US,San Antonio IDC4,2107351,NULL,NULL
South Central US,San Antonio IDC4,2107352,NULL,NULL
North Central US,Chicago 3,2107353,NULL,NULL
South Central US,San Antonio IDC2,2107354,NULL,NULL
West US,Bay IDC4,2107355,NULL,NULL
NULL,Bay IDC3,2107356,NULL,NULL
NULL,Bay IDC3,2107357,NULL,NULL
East Asia,Hong Kong 3,2107358,NULL,NULL
Australia East,Sydney SYD03,2107359,NULL,NULL
North Europe,Dublin DUB06,2107360,NULL,NULL
North Europe,Dublin DUB06,2107361,NULL,NULL
West Europe,Amsterdam AMS05,2107362,NULL,NULL
East US,Blue Ridge 4,2107363,NULL,NULL
East US,Blue Ridge 4,2107364,NULL,NULL
North Central US,Chicago 3,2107365,NULL,NULL
West US 2,Quincy MWH01,2107366,NULL,NULL
South Central US,San Antonio IDC1,2107367,NULL,NULL
West US,Bay IDC4,2107368,NULL,NULL
West US,Bay IDC4,2107369,NULL,NULL
East Asia,Hong Kong 3,2107370,NULL,NULL
East Asia,Hong Kong 3,2107371,NULL,NULL
East Asia,Hong Kong 3,2107372,NULL,NULL
Southeast Asia,Singapore IDC2,2107373,NULL,NULL
Southeast Asia,Singapore IDC2,2107374,NULL,NULL
Southeast Asia,Singapore IDC2,2107375,NULL,NULL
East Asia,Hong Kong 3,2107376,NULL,NULL
Southeast Asia,Singapore IDC2,2107377,NULL,NULL
Australia Southeast,Melbourne MEL01,2107378,NULL,NULL
China North,China Telecom: Yongfeng,2107379,NULL,NULL
China East,Shanghai SHA03,2107380,NULL,NULL
China East,Shanghai SHA03,2107381,NULL,NULL
China North,China Telecom: Yongfeng,2107382,NULL,NULL
North Europe,Dublin DUB06,2107383,NULL,NULL
North Europe,Dublin DUB06,2107384,NULL,NULL
North Europe,Dublin DUB06,2107385,NULL,NULL
North Europe,Dublin DUB06,2107386,NULL,NULL
North Europe,Dublin DUB06,2107387,NULL,NULL
West Europe,Amsterdam AMS05,2107388,NULL,NULL
North Europe,Dublin DUB06,2107389,NULL,NULL
West Europe,Amsterdam AMS05,2107390,NULL,NULL
West Europe,Amsterdam AMS05,2107391,NULL,NULL
West Europe,Amsterdam AMS05,2107392,NULL,NULL
West Europe,Amsterdam AMS05,2107393,NULL,NULL
West Europe,Amsterdam AMS05,2107394,NULL,NULL
West Europe,Amsterdam AMS05,2107395,NULL,NULL
North Europe,Dublin DUB06,2107396,NULL,NULL
West Europe,Amsterdam AMS05,2107397,NULL,NULL
West Europe,Amsterdam AMS05,2107398,NULL,NULL
Central India,Pune PNQ01,2107399,NULL,NULL
Japan West,Osaka OSA02,2107400,NULL,NULL
Central US,Des Moines DSM05,2107401,NULL,NULL
Central US,Des Moines DSM05,2107402,NULL,NULL
Central US,Des Moines DSM05,2107403,NULL,NULL
Central US,Des Moines DSM05,2107404,NULL,NULL
East US 2,Boydton BN6,2107405,NULL,NULL
Central US,Des Moines DSM05,2107406,NULL,NULL
East US,Blue Ridge 4,2107407,NULL,NULL
West US,Bay IDC4,2107408,NULL,NULL
East US,Blue Ridge 4,2107409,NULL,NULL
East US 2,Boydton BN6,2107410,NULL,NULL
East US 2,Boydton BN6,2107411,NULL,NULL
East US 2,Boydton BN6,2107412,NULL,NULL
Central US,Des Moines DSM05,2107413,NULL,NULL
East US 2,Boydton BN6,2107414,NULL,NULL
East US 2,Boydton BN6,2107415,NULL,NULL
North Central US,Chicago 3,2107416,NULL,NULL
North Central US,Chicago 3,2107417,NULL,NULL
South Central US,San Antonio IDC2,2107418,NULL,NULL
North Central US,Chicago 3,2107419,NULL,NULL
West US 2,Quincy MWH01,2107420,NULL,NULL
West US 2,Quincy MWH01,2107421,NULL,NULL
South Central US,San Antonio IDC1,2107422,NULL,NULL
West US 2,Quincy MWH01,2107423,NULL,NULL
South Central US,San Antonio IDC1,2107424,NULL,NULL
North Central US,Chicago 3,2107425,NULL,NULL
South Central US,San Antonio IDC2,2107426,NULL,NULL
West US,Bay IDC4,2107427,NULL,NULL
West US,Bay IDC4,2107428,NULL,NULL
East US,Blue Ridge 4,2107429,NULL,NULL
West US,Bay IDC4,2107430,NULL,NULL
NULL,Bay IDC3,2107431,NULL,NULL
East Asia,Hong Kong 3,2107432,NULL,NULL
East Asia,Hong Kong 3,2107433,NULL,NULL
East Asia,Hong Kong 3,2107434,NULL,NULL
East Asia,Hong Kong 3,2107435,NULL,NULL
East Asia,Hong Kong 3,2107436,NULL,NULL
East Asia,Hong Kong 3,2107437,NULL,NULL
East Asia,Hong Kong 3,2107438,NULL,NULL
East Asia,Hong Kong 3,2107439,NULL,NULL
Southeast Asia,Singapore IDC2,2107440,NULL,NULL
Southeast Asia,Singapore IDC2,2107441,NULL,NULL
Southeast Asia,Singapore IDC2,2107442,NULL,NULL
Southeast Asia,Singapore IDC2,2107443,NULL,NULL
Southeast Asia,Singapore IDC2,2107444,NULL,NULL
Southeast Asia,Singapore IDC2,2107445,NULL,NULL
East Asia,Hong Kong 3,2107446,NULL,NULL
Southeast Asia,Singapore IDC2,2107447,NULL,NULL
Australia East,Sydney SYD03,2107448,NULL,NULL
Australia East,Sydney SYD03,2107449,NULL,NULL
Australia Southeast,Melbourne MEL01,2107450,NULL,NULL
Brazil South,Campinas CPQ01,2107451,NULL,NULL
Brazil South,Campinas CPQ01,2107452,NULL,NULL
China East,Shanghai SHA03,2107453,NULL,NULL
China North,China Telecom: Yongfeng,2107454,NULL,NULL
North Europe,Dublin IDC4,2107455,NULL,NULL
North Europe,Dublin IDC4,2107456,NULL,NULL
North Europe,Dublin IDC4,2107457,NULL,NULL
North Europe,Dublin IDC4,2107458,NULL,NULL
North Europe,Dublin IDC4,2107459,NULL,NULL
North Europe,Dublin DUB06,2107460,NULL,NULL
North Europe,Dublin DUB06,2107461,NULL,NULL
West Europe,Amsterdam AMS05,2107462,NULL,NULL
West Europe,Amsterdam AMS05,2107463,NULL,NULL
West Europe,Amsterdam AMS05,2107464,NULL,NULL
West Europe,Amsterdam AMS05,2107465,NULL,NULL
West Europe,Amsterdam AMS05,2107466,NULL,NULL
West Europe,Amsterdam AMS05,2107467,NULL,NULL
West Europe,Amsterdam AMS05,2107468,NULL,NULL
West Europe,Amsterdam AMS05,2107469,NULL,NULL
West Europe,Amsterdam AMS05,2107470,NULL,NULL
West Europe,Amsterdam AMS05,2107471,NULL,NULL
North Europe,Dublin IDC4,2107472,NULL,NULL
West Europe,Amsterdam AMS05,2107473,NULL,NULL
South India,Chennai MAA01,2107474,NULL,NULL
Japan East,Tokyo TYO01,2107475,NULL,NULL
Japan West,Osaka OSA01,2107476,NULL,NULL
Japan West,Osaka OSA02,2107477,NULL,NULL
Central US,Des Moines DSM05,2107478,NULL,NULL
Central US,Des Moines DSM05,2107479,NULL,NULL
Central US,Des Moines DSM05,2107480,NULL,NULL
Central US,Des Moines DSM05,2107481,NULL,NULL
Central US,Des Moines DSM05,2107482,NULL,NULL
East US 2,Boydton BN6,2107483,NULL,NULL
Central US,Des Moines DSM05,2107484,NULL,NULL
East US,Blue Ridge 4,2107485,NULL,NULL
Germany Central,Frankfurt FRA20,2110186,NULL,NULL
China East,Shanghai SHA03,2110187,NULL,NULL
East Asia,Hong Kong 2,2110188,NULL,NULL
Japan East,Tokyo TYO01,2110189,NULL,NULL
East US 2,Boydton 4,2110190,NULL,NULL
West Europe,Amsterdam AMS06,2110191,AM6PrdAppXX,AM6
South Central US,San Antonio IDC2,2110192,NULL,NULL
Japan East,Tokyo TYO01,2110193,NULL,NULL
West US,Bay IDC4,2110194,NULL,NULL
West US,Bay IDC4,2110195,NULL,NULL
North Europe,Dublin DUB06,2110196,NULL,NULL
West US,Bay IDC4,2110197,NULL,NULL
Brazil South,Campinas CPQ02,2110198,NULL,NULL
West US,Bay IDC4,2110199,NULL,NULL
West Europe,Amsterdam AMS05,2110200,NULL,NULL
West US,Bay IDC4,2110201,NULL,NULL
West Europe,Amsterdam AMS05,2110202,NULL,NULL
East US 2,Boydton BN6,2110203,NULL,NULL
West Europe,Amsterdam AMS06,2110204,NULL,NULL
North Central US,Chicago 1,2110205,NULL,NULL
North Europe,Dublin DUB06,2110206,NULL,NULL
South Central US,San Antonio IDC4,2110207,NULL,NULL
Southeast Asia,Singapore IDC2,2110208,NULL,NULL
West US,Bay IDC4,2110209,NULL,NULL
East US 2,Boydton 4,2110210,NULL,NULL
Australia Southeast,Melbourne MEL01,2110211,NULL,NULL
Brazil South,Campinas CPQ02,2110212,NULL,NULL
West US 2,Quincy MWH01,2110213,NULL,NULL
Central US,Des Moines DSM05,2110214,NULL,NULL
North Central US,Chicago 1,2110216,NULL,NULL
West Europe,Amsterdam AMS05,2110217,NULL,NULL
China North,China Telecom: Yongfeng,2110218,NULL,NULL
West US,Bay IDC4,2110219,NULL,NULL
East US,Blue Ridge 3,2110220,NULL,NULL
North Europe,Dublin DUB06,2110221,NULL,NULL
South Central US,San Antonio IDC4,2110222,NULL,NULL
East US,Blue Ridge 3,2110223,NULL,NULL
Southeast Asia,Singapore IDC2,2110224,NULL,NULL
West US,Bay IDC4,2110225,NULL,NULL
East Asia,Hong Kong 2,2110226,NULL,NULL
East Asia,Hong Kong 2,2110227,NULL,NULL
Southeast Asia,Singapore IDC2,2110228,NULL,NULL
Australia East,Sydney SYD03,2110229,NULL,NULL
Australia Southeast,Melbourne MEL01,2110230,NULL,NULL
Central US,Des Moines 3,2110231,NULL,NULL
Southeast Asia,Singapore IDC2,2110232,NULL,NULL
North Europe,Dublin-DB5,2110233,NULL,NULL
West Europe,Amsterdam AMS05,2110234,NULL,NULL
West US,Bay IDC4,2110235,NULL,NULL
West Europe,Amsterdam AMS05,2110236,NULL,NULL
Japan East,Tokyo TYO01,2110237,NULL,NULL
North Europe,Dublin-DB5,2110238,NULL,NULL
Central US,Des Moines 3,2110239,NULL,NULL
East US,Blue Ridge BL5,2110240,NULL,NULL
East US 2,Boydton 4,2110241,NULL,NULL
East US,Blue Ridge 4,2110242,NULL,NULL
East US,Blue Ridge 4,2110243,NULL,NULL
Central US,Des Moines 3,2110244,DM3PrdApp04,DM3
East US 2,Boydton BN6,2110245,NULL,NULL
West Europe,Amsterdam AMS06,2110246,NULL,NULL
East US,Blue Ridge 4,2110247,NULL,NULL
Southeast Asia,Singapore IDC2,2110248,NULL,NULL
Central US,Des Moines DSM05,2110249,NULL,NULL
East US,Blue Ridge 4,2110250,NULL,NULL
West US,Bay IDC4,2110251,NULL,NULL
Australia East,Sydney SYD03,2110252,NULL,NULL
Central US,Des Moines DSM05,2110253,NULL,NULL
West US,Bay IDC4,2110254,NULL,NULL
North Europe,Dublin DUB06,2110255,NULL,NULL
Central US,Des Moines DSM05,2110256,NULL,NULL
South Central US,San Antonio IDC4,2110257,NULL,NULL
Southeast Asia,Singapore IDC2,2110258,NULL,NULL
East US 2,Boydton BN6,2110259,NULL,NULL
East US 2,Boydton BN6,2110260,NULL,NULL
East Asia,Hong Kong 2,2110261,NULL,NULL
East US 2,Boydton BN6,2110262,NULL,NULL
East Asia,Hong Kong 2,2110263,NULL,NULL
East Asia,Hong Kong 2,2110264,NULL,NULL
West US,Bay IDC4,2110265,NULL,NULL
South India,Chennai MAA01,2110266,NULL,NULL
West US,Bay IDC4,2110267,NULL,NULL
West US,Bay IDC4,2110268,NULL,NULL
West Europe,Amsterdam AMS06,2110269,NULL,NULL
East US 2,Boydton 4,2110270,NULL,NULL
South Central US,San Antonio IDC4,2110271,NULL,NULL
West Europe,Amsterdam AMS06,2110272,NULL,NULL
Japan West,Osaka OSA02,2110273,NULL,NULL
South Central US,San Antonio IDC4,2110274,NULL,NULL
West Europe,Amsterdam AMS05,2110275,NULL,NULL
West Europe,Amsterdam AMS05,2110276,NULL,NULL
East US,Blue Ridge BL5,2110277,NULL,NULL
East US 2,Boydton 4,2110278,NULL,NULL
Central US,Des Moines 3,2110279,NULL,NULL
East US,Blue Ridge BL5,2110280,NULL,NULL
West US,Bay IDC4,2110281,NULL,NULL
Southeast Asia,Singapore IDC2,2110282,NULL,NULL
South Central US,San Antonio IDC2,2110283,NULL,NULL
West US,Bay IDC4,2110284,NULL,NULL
South Central US,San Antonio IDC2,2110285,NULL,NULL
West US,Bay IDC4,2110286,NULL,NULL
West US,Bay IDC4,2110287,NULL,NULL
